Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,0.22277581277433958,0.22277576,0.2439537,-6.157442092895508,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
2,0.036306682173336775,0.036306687,0.14740701,-0.2590661644935608,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
3,0.03618104506075104,0.036181033,0.1466705,-0.2679404616355896,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
4,0.03280492687476016,0.03280492,0.1391157,-0.1409987509250641,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
5,1.1734005578523763,1.1734004,0.48396704,-47.288978576660156,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
6,0.11491633396352006,0.11491634,0.2526411,-3.308708667755127,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
7,0.04096210720104592,0.040962115,0.15601997,-0.4095296561717987,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
8,0.037892356880496594,0.037892353,0.14962445,-0.29663559794425964,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
9,0.036635359035474116,0.036635358,0.1472771,-0.2521411180496216,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
10,0.03586149936385244,0.035861507,0.14617766,-0.23384371399879456,139586628,139586628,0,0.03185123413362924,0.030852636,0.13841407,-0.024163037538528442
